S0     S1     E      O      M     CCS    YGC     YGCT     FGC    FGCT     CGC    CGCT       GCT    LGCC                 GCC
     -      -   4.66 100.00  99.34  98.16     33     0.001     -         -   105     0.003     0.004 Proactive            No GC
     -      -  42.15 100.00  99.34  98.16     36     0.001     -         -   105     0.003     0.004 No GC                High Usage
     -      -  42.15 100.00  99.34  98.16     36     0.001     -         -   105     0.003     0.004 High Usage           No GC
     -      -  42.15 100.00  99.34  98.16     36     0.001     -         -   105     0.003     0.004 High Usage           No GC
     -      -  42.15 100.00  99.34  98.16     36     0.001     -         -   105     0.003     0.004 High Usage           No GC
     -      -  42.15 100.00  99.34  98.16     36     0.001     -         -   105     0.003     0.004 High Usage           No GC
     -      -  42.15 100.00  99.34  98.16     36     0.001     -         -   105     0.003     0.004 High Usage           No GC
     -      -  42.15 100.00  99.34  98.16     36     0.001     -         -   105     0.003     0.004 High Usage           No GC
     -      -  42.15 100.00  99.34  98.16     36     0.001     -         -   105     0.003     0.004 High Usage           No GC
     -      -  42.15 100.00  99.34  98.16     36     0.001     -         -   105     0.003     0.004 High Usage           No GC
     -      -  42.15 100.00  99.34  98.16     36     0.001     -         -   105     0.003     0.004 High Usage           No GC
     -      -  42.15 100.00  99.34  98.16     36     0.001     -         -   105     0.003     0.004 High Usage           No GC
     -      -  42.15 100.00  99.34  98.16     36     0.001     -         -   105     0.003     0.004 High Usage           No GC
     -      -  42.15 100.00  99.34  98.16     36     0.001     -         -   105     0.003     0.004 High Usage           No GC
     -      -  42.15 100.00  99.34  98.16     36     0.001     -         -   105     0.003     0.004 High Usage           No GC
     -      -  42.15 100.00  99.34  98.16     36     0.001     -         -   105     0.003     0.004 High Usage           No GC
     -      -  42.15 100.00  99.34  98.16     36     0.001     -         -   105     0.003     0.004 High Usage           No GC
     -      -  42.15 100.00  99.34  98.16     36     0.001     -         -   105     0.003     0.004 High Usage           No GC
     -      -  42.15 100.00  99.34  98.16     36     0.001     -         -   105     0.003     0.004 High Usage           No GC
     -      -  72.59 100.00  99.35  98.16     39     0.001     -         -   105     0.003     0.004 High Usage           No GC
     -      -  72.59 100.00  99.35  98.16     39     0.001     -         -   105     0.003     0.004 High Usage           No GC
     -      -  72.59 100.00  99.35  98.16     39     0.001     -         -   105     0.003     0.004 High Usage           No GC
     -      -  72.59 100.00  99.35  98.16     39     0.001     -         -   105     0.003     0.004 High Usage           No GC
     -      -  72.59 100.00  99.35  98.16     39     0.001     -         -   105     0.003     0.004 High Usage           No GC
     -      -  27.78 100.00  99.35  98.16     39     0.001     -         -   108     0.003     0.004 No GC                Proactive
     -      -   7.15 100.00  99.35  98.16     39     0.001     -         -   110     0.003     0.004 Proactive            No GC
     -      -   7.15 100.00  99.35  98.16     39     0.001     -         -   110     0.003     0.004 Proactive            No GC
     -      -   7.15 100.00  99.35  98.16     39     0.001     -         -   110     0.003     0.004 Proactive            No GC
     -      -   7.15 100.00  99.35  98.16     39     0.001     -         -   110     0.003     0.004 Proactive            No GC
     -      -   7.15 100.00  99.35  98.16     39     0.001     -         -   110     0.003     0.004 Proactive            No GC
     -      -   7.15 100.00  99.35  98.16     39     0.001     -         -   110     0.003     0.004 Proactive            No GC
     -      -   7.15 100.00  99.35  98.16     39     0.001     -         -   110     0.003     0.004 Proactive            No GC
     -      -   7.15 100.00  99.35  98.16     39     0.001     -         -   110     0.003     0.004 Proactive            No GC
     -      -   7.15 100.00  99.35  98.16     39     0.001     -         -   110     0.003     0.004 Proactive            No GC
     -      -   7.15 100.00  99.35  98.16     39     0.001     -         -   110     0.003     0.004 Proactive            No GC
     -      -   7.15 100.00  99.35  98.16     39     0.001     -         -   110     0.003     0.004 Proactive            No GC
     -      -   7.15 100.00  99.35  98.16     39     0.001     -         -   110     0.003     0.004 Proactive            No GC
     -      -   7.15 100.00  99.35  98.16     39     0.001     -         -   110     0.003     0.004 Proactive            No GC
