 S0     S1     E      O      M     CCS    YGC     YGCT     FGC    FGCT     CGC    CGCT       GCT    LGCC                 GCC
     -  70.03  76.92  89.22  99.10  97.68     57     0.220     0     0.000    36     0.093     0.313 G1 Evacuation Pause  No GC
     -  67.44  16.67  88.94  99.10  97.68     60     0.227     0     0.000    38     0.096     0.323 G1 Evacuation Pause  No GC
     -  86.85  75.00  88.94  99.10  97.68     62     0.232     0     0.000    40     0.098     0.331 G1 Evacuation Pause  No GC
     -  83.14  23.08  88.65  99.10  97.68     65     0.241     0     0.000    42     0.101     0.341 G1 Evacuation Pause  No GC
     -  52.18  76.00  88.43  99.10  97.68     67     0.247     0     0.000    44     0.103     0.350 G1 Evacuation Pause  No GC
     -  74.13  24.00  84.87  99.10  97.68     70     0.254     0     0.000    46     0.106     0.360 G1 Evacuation Pause  No GC
     -  68.01  56.52  84.76  99.10  97.68     72     0.261     0     0.000    48     0.110     0.370 G1 Evacuation Pause  No GC
     -  98.79  20.83  84.41  99.10  97.68     75     0.269     0     0.000    50     0.112     0.382 G1 Evacuation Pause  No GC
     -  78.22  88.89  87.29  99.10  97.68     77     0.274     0     0.000    52     0.115     0.389 G1 Evacuation Pause  No GC
     -  76.73  60.87  80.76  99.10  97.68     80     0.282     0     0.000    54     0.118     0.399 G1 Evacuation Pause  No GC
     - 100.00  73.68  73.68  99.10  97.68     83     0.291     0     0.000    56     0.121     0.411 G1 Evacuation Pause  No GC
     - 100.00  30.43  79.73  99.10  97.68     87     0.306     0     0.000    58     0.123     0.429 G1 Evacuation Pause  No GC
     - 100.00  20.00  70.81  99.10  97.68     90     0.315     0     0.000    60     0.126     0.442 G1 Evacuation Pause  No GC
     - 100.00  86.96  71.15  99.10  97.68     92     0.323     0     0.000    60     0.126     0.449 G1 Evacuation Pause  No GC
     -  85.95  42.00  77.84  99.10  97.68     94     0.328     0     0.000    62     0.129     0.457 G1 Evacuation Pause  No GC
     -  98.27  65.57  75.17  99.10  97.68     95     0.331     0     0.000    62     0.129     0.460 G1 Evacuation Pause  No GC
     -  93.65  85.96  75.17  99.10  97.68     96     0.334     0     0.000    64     0.131     0.465 G1 Evacuation Pause  No GC
     - 100.00  20.83  73.33  99.10  97.68     98     0.343     0     0.000    64     0.131     0.474 G1 Evacuation Pause  No GC
     - 100.00  72.73  74.60  99.10  97.68     99     0.347     0     0.000    66     0.134     0.481 G1 Evacuation Pause  No GC
     - 100.00  43.48  71.79  99.10  97.68    101     0.356     0     0.000    66     0.134     0.489 G1 Evacuation Pause  No GC
     - 100.00  83.33  73.30  99.10  97.68    102     0.361     0     0.000    68     0.136     0.497 G1 Evacuation Pause  No GC
     - 100.00  69.44  71.82  99.10  97.68    104     0.369     0     0.000    68     0.136     0.505 G1 Evacuation Pause  No GC
     - 100.00  93.75  75.34  99.10  97.68    106     0.377     0     0.000    70     0.139     0.515 G1 Evacuation Pause  No GC
     - 100.00  51.22  73.81  99.11  97.69    108     0.385     0     0.000    70     0.139     0.524 G1 Evacuation Pause  No GC
     - 100.00  40.62  75.82  99.11  97.69    110     0.393     0     0.000    72     0.141     0.534 G1 Evacuation Pause  No GC
     -  96.93  45.00  75.10  99.11  97.69    112     0.402     0     0.000    74     0.143     0.545 G1 Evacuation Pause  No GC
     - 100.00  28.57  72.82  99.11  97.69    114     0.409     0     0.000    74     0.143     0.552 G1 Evacuation Pause  No GC
     -  91.78  86.00  74.23  99.11  97.69    115     0.412     0     0.000    74     0.143     0.555 G1 Evacuation Pause  No GC
     - 100.00  25.00  77.38  99.11  97.69    117     0.418     0     0.000    76     0.146     0.563 G1 Evacuation Pause  No GC
     -  92.04  78.18  74.41  99.11  97.69    118     0.422     0     0.000    76     0.146     0.567 G1 Evacuation Pause  No GC
     -  94.93  20.00  79.41  99.11  97.69    120     0.429     0     0.000    78     0.148     0.577 G1 Evacuation Pause  No GC
     -  99.75  67.27  75.12  99.11  97.69    121     0.432     0     0.000    78     0.148     0.580 G1 Evacuation Pause  No GC
     -  85.14   1.85  78.69  99.11  97.69    123     0.439     0     0.000    80     0.151     0.589 G1 Evacuation Pause  No GC
     -  99.48  37.10  80.03  99.11  97.69    124     0.441     0     0.000    80     0.151     0.592 G1 Evacuation Pause  No GC
     -  99.91  66.67  78.86  99.11  97.69    125     0.445     0     0.000    82     0.153     0.598 G1 Evacuation Pause  No GC
     -  82.33   7.02  79.14  99.11  97.69    127     0.452     0     0.000    82     0.153     0.605 G1 Evacuation Pause  No GC
     - 100.00  19.15  76.32  99.11  97.69    128     0.456     0     0.000    84     0.156     0.611 G1 Evacuation Pause  No GC
     -  99.85  62.79  76.45  99.11  97.69    129     0.459     0     0.000    84     0.156     0.615 G1 Evacuation Pause  No GC
     -  83.44  30.61  76.76  99.11  97.69    131     0.466     0     0.000    86     0.158     0.624 G1 Evacuation Pause  No GC
     -  94.88   1.96  74.69  99.11  97.69    133     0.473     0     0.000    86     0.158     0.631 G1 Evacuation Pause  No GC
     - 100.00  38.30  74.96  99.11  97.69    134     0.477     0     0.000    88     0.161     0.637 G1 Evacuation Pause  No GC
     - 100.00   4.65  72.44  99.11  97.69    136     0.485     0     0.000    88     0.161     0.645 G1 Evacuation Pause  No GC
     - 100.00  75.68  74.45  99.11  97.69    137     0.489     0     0.000    90     0.163     0.652 G1 Evacuation Pause  No GC
     - 100.00  76.32  70.85  99.11  97.69    139     0.497     0     0.000    90     0.163     0.660 G1 Evacuation Pause  No GC
     - 100.00  93.94  75.59  99.11  97.69    141     0.506     0     0.000    92     0.165     0.671 G1 Evacuation Pause  No GC
     - 100.00  97.14  72.73  99.11  97.69    143     0.514     0     0.000    92     0.165     0.679 G1 Evacuation Pause  No GC
     - 100.00  10.00  72.78  99.11  97.69    146     0.525     0     0.000    94     0.168     0.693 G1 Evacuation Pause  No GC
     - 100.00  81.58  73.33  99.11  97.69    147     0.529     0     0.000    94     0.168     0.697 G1 Evacuation Pause  No GC
