Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,发送 KB/sec
i是vi人？,100000,28,20,67,86,118,2,178,0.000%,1767.06543,560.84,696.80
300-2,100000,27,21,54,67,105,2,192,0.000%,1793.59328,569.26,707.26
600-1,100000,149,143,240,279,339,2,436,0.000%,1961.09194,622.42,773.31
600-2,100000,161,153,239,269,341,3,507,0.000%,1886.61447,598.78,743.94
vir-600-1,100000,135,132,213,237,278,3,360,0.000%,2061.00577,654.13,812.71
vir-600-2,100000,132,131,181,200,245,3,314,0.000%,2080.08320,660.18,820.23
vir-300-2,100000,30,23,63,78,116,2,193,0.000%,1760.99743,558.91,694.41
vir-300-1,100000,41,34,89,107,141,2,237,0.000%,1645.52171,522.26,648.87
总体,800000,88,74,185,219,287,2,507,0.000%,757.24876,240.34,298.60
